date,gov_id,gov_name,region,mean_ndvi,std_ndvi,mean_ndmi,healthy_pct,cloud_pct,confidence,scene_id
2022-01-30,tunis,Tunis,north,0.3423,0.2567,0.0846,41.94,0.0,0.024,S2B_32SPF_20220130_1_L2A
2022-02-09,tunis,Tunis,north,0.2956,0.2295,0.0548,33.36,0.1,0.999,S2B_32SPF_20220209_0_L2A
2022-03-29,tunis,Tunis,north,0.2632,0.1961,0.0512,32.89,4.7,0.953,S2A_32SPF_20220329_0_L2A
2022-04-08,tunis,Tunis,north,0.2620,0.2016,0.0203,28.53,0.0,1.000,S2A_32SNF_20220408_0_L2A
2022-05-15,tunis,Tunis,north,0.1944,0.1750,-0.0495,8.62,0.0,1.000,S2A_32SNF_20220515_0_L2A
2022-06-24,tunis,Tunis,north,0.1538,0.1125,-0.0595,5.34,0.1,0.999,S2A_32SNF_20220624_0_L2A
2022-07-17,tunis,Tunis,north,0.1654,0.1388,-0.0607,6.19,0.0,1.000,S2A_32SNF_20220717_0_L2A
2022-08-26,tunis,Tunis,north,0.1490,0.1225,-0.0801,4.60,0.0,1.000,S2A_32SNF_20220826_0_L2A
2022-09-10,tunis,Tunis,north,0.1700,0.1782,-0.0911,5.83,0.0,1.000,S2B_32SPF_20220910_0_L2A
2022-10-20,tunis,Tunis,north,0.1737,0.1302,-0.0537,7.64,0.0,1.000,S2B_32SNF_20221020_0_L2A
2022-11-14,tunis,Tunis,north,0.1967,0.1550,-0.0490,10.08,0.0,1.000,S2A_32SNF_20221114_0_L2A
2022-12-04,tunis,Tunis,north,0.2462,0.1769,0.0167,23.67,0.0,1.000,S2A_32SNF_20221204_0_L2A
2023-01-08,tunis,Tunis,north,0.2516,0.1952,-0.0001,22.38,0.0,1.000,S2B_32SNF_20230108_0_L2A
2023-02-19,tunis,Tunis,north,0.2417,0.1852,0.0084,22.77,0.0,1.000,S2A_32SNF_20230219_0_L2A
2023-03-24,tunis,Tunis,north,0.2189,0.1667,-0.0195,16.28,0.0,1.000,S2A_32SNF_20230324_0_L2A
2023-04-08,tunis,Tunis,north,0.2236,0.1634,-0.0141,14.68,0.0,1.000,S2B_32SPF_20230408_0_L2A
2023-05-28,tunis,Tunis,north,0.1769,0.1376,-0.0568,6.56,20.2,0.798,S2B_32SNF_20230528_0_L2A
2023-06-22,tunis,Tunis,north,0.1693,0.1124,-0.0471,5.55,4.4,0.956,S2A_32SNF_20230622_1_L2A
2023-07-14,tunis,Tunis,north,0.1385,0.0933,-0.0659,3.69,0.0,1.000,S2B_32SNF_20230714_0_L2A
2023-08-16,tunis,Tunis,north,0.1519,0.1280,-0.0737,5.23,0.0,1.000,S2B_32SNF_20230816_0_L2A
2023-09-15,tunis,Tunis,north,0.1447,0.1418,-0.0929,4.86,0.0,1.000,S2B_32SPF_20230915_0_L2A
2023-10-10,tunis,Tunis,north,0.1407,0.1133,-0.0773,4.93,0.0,1.000,S2A_32SNF_20231010_0_L2A
2023-11-14,tunis,Tunis,north,0.1714,0.1438,-0.0696,7.71,0.1,0.999,S2B_32SPF_20231114_0_L2A
2023-12-26,tunis,Tunis,north,0.2319,0.1792,-0.0048,18.37,0.0,1.000,S2A_32SNF_20231226_0_L2A
2024-01-25,tunis,Tunis,north,0.2594,0.2111,0.0149,25.46,0.1,0.999,S2A_32SNF_20240125_0_L2A
2024-02-04,tunis,Tunis,north,0.2830,0.2280,0.0440,30.59,0.1,0.999,S2A_32SPF_20240204_0_L2A
2024-03-30,tunis,Tunis,north,0.1994,0.1030,0.0477,18.36,7.6,0.924,S2B_32SNF_20240330_0_L2A
2024-04-04,tunis,Tunis,north,0.2336,0.1680,0.0046,22.76,0.1,0.999,S2A_32SNF_20240404_1_L2A
2024-05-12,tunis,Tunis,north,0.1783,0.1419,-0.0632,5.91,0.0,1.000,S2B_32SNF_20240512_0_L2A
2024-06-26,tunis,Tunis,north,0.1513,0.1142,-0.0721,4.20,3.2,0.968,S2A_32SNF_20240626_0_L2A
2024-07-31,tunis,Tunis,north,0.1458,0.1151,-0.0694,4.74,0.0,1.000,S2B_32SNF_20240731_0_L2A
2024-08-25,tunis,Tunis,north,0.1571,0.1344,-0.0667,5.91,0.0,1.000,S2A_32SNF_20240825_0_L2A
2024-09-01,tunis,Tunis,north,,,,,0.0,,S2A_32SNF_20240901_0_L2A
2024-10-01,tunis,Tunis,north,0.1719,0.1680,-0.0485,8.63,0.0,1.000,S2A_32SNF_20241001_0_L2A
2024-11-25,tunis,Tunis,north,0.2323,0.1793,-0.0151,17.70,0.0,1.000,S2B_32SNF_20241125_0_L2A
2024-12-10,tunis,Tunis,north,0.2591,0.1995,0.0172,25.15,0.1,0.999,S2A_32SNF_20241210_0_L2A
2025-01-24,tunis,Tunis,north,0.2773,0.2201,0.0409,30.68,0.1,0.999,S2B_32SNF_20250124_0_L2A
2025-02-16,tunis,Tunis,north,0.3204,0.2431,0.0796,36.98,1.3,0.987,S2B_32SPF_20250216_0_L2A
2025-03-15,tunis,Tunis,north,0.2452,0.1542,0.0691,30.04,0.2,0.998,S2B_32SNF_20250315_0_L2A
2025-04-19,tunis,Tunis,north,0.2571,0.2048,0.0157,27.64,0.1,0.999,S2C_32SNF_20250419_0_L2A
2025-05-31,tunis,Tunis,north,0.1951,0.1435,-0.0417,9.08,0.0,1.000,S2A_32SNF_20250531_0_L2A
2025-06-23,tunis,Tunis,north,0.1907,0.1426,-0.0460,9.13,0.0,1.000,S2B_32SPF_20250623_1_L2A
2025-07-23,tunis,Tunis,north,0.1504,0.1110,-0.0781,4.35,0.0,1.000,S2A_32SNF_20250723_0_L2A
2025-08-25,tunis,Tunis,north,0.1659,0.1374,-0.0764,6.09,0.0,1.000,S2B_32SNF_20250825_0_L2A
2025-09-01,tunis,Tunis,north,0.1676,0.1379,-0.0708,5.99,0.0,1.000,S2A_32SNF_20250901_0_L2A
2025-10-08,tunis,Tunis,north,0.1792,0.1484,-0.0619,7.84,10.3,0.897,S2A_32SNF_20251008_0_L2A
2025-11-30,tunis,Tunis,north,0.2220,0.1658,-0.0281,13.37,0.0,1.000,S2A_32SNF_20251130_1_L2A
2025-12-08,tunis,Tunis,north,0.2058,0.1683,-0.0549,11.12,5.7,0.943,S2C_32SNF_20251208_0_L2A
2026-01-09,tunis,Tunis,north,0.2858,0.2187,0.0183,27.92,0.0,1.000,S2A_32SNF_20260109_0_L2A
2026-02-26,tunis,Tunis,north,0.2916,0.2280,0.0313,31.65,0.0,1.000,S2C_32SNF_20260226_0_L2A
2026-03-18,tunis,Tunis,north,0.2977,0.2327,0.0529,34.21,17.8,0.822,S2C_32SNF_20260318_0_L2A
2026-04-07,tunis,Tunis,north,0.3007,0.2324,0.0505,34.26,0.0,1.000,S2C_32SNF_20260407_0_L2A
2026-05-29,tunis,Tunis,north,0.2013,0.1491,-0.0316,12.22,0.0,1.000,S2B_32SPF_20260529_0_L2A
2026-06-18,tunis,Tunis,north,0.1996,0.1517,-0.0147,11.52,0.0,1.000,S2B_32SNF_20260618_0_L2A
2026-07-25,tunis,Tunis,north,0.1554,0.1262,-0.0616,5.81,0.0,1.000,S2A_32SNF_20260725_0_L2A
2026-08-20,tunis,Tunis,north,0.1629,0.1370,-0.0729,6.25,0.0,1.000,S2B_32SNF_20260820_0_L2A
2022-01-05,ariana,Ariana,north,0.4358,0.2230,0.0724,55.30,3.0,0.710,S2A_32SPG_20220105_0_L2A
2022-02-09,ariana,Ariana,north,0.4402,0.2448,0.1388,61.34,0.0,0.991,S2B_32SPG_20220209_0_L2A
2022-03-24,ariana,Ariana,north,,,,,43.0,,S2B_32SPG_20220324_0_L2A
